selection_method,crossover_method,mutation_method,reinsertion_method,converged,execution_time,best_solution
tournament,cyclic,swap,ordered,True,0.00929570198059082,"[7, 4, 2, 9, 0, 8, 1, 3]"
tournament,cyclic,swap,ordered,True,0.01626420021057129,"[3, 8, 2, 1, 0, 4, 6, 9]"
tournament,cyclic,swap,ordered,False,0.10416865348815918,
tournament,cyclic,swap,ordered,True,0.052243709564208984,"[6, 5, 2, 4, 0, 7, 3, 9]"
tournament,cyclic,swap,ordered,True,0.03839564323425293,"[6, 5, 2, 4, 0, 7, 3, 9]"
tournament,cyclic,swap,ordered,False,0.09843850135803223,
tournament,cyclic,swap,ordered,True,0.017381906509399414,"[6, 8, 5, 1, 0, 7, 3, 9]"
tournament,cyclic,swap,ordered,False,0.14697885513305664,
tournament,cyclic,swap,ordered,False,0.15224933624267578,
tournament,cyclic,swap,ordered,True,0.025890827178955078,"[9, 5, 6, 7, 1, 0, 8, 2]"
tournament,cyclic,swap,ordered,True,0.03739142417907715,"[9, 5, 6, 7, 1, 0, 8, 2]"
tournament,cyclic,swap,ordered,True,0.04677748680114746,"[7, 4, 2, 9, 0, 8, 1, 3]"
tournament,cyclic,swap,ordered,False,0.15207767486572266,
tournament,cyclic,swap,ordered,False,0.14650893211364746,
tournament,cyclic,swap,ordered,True,0.11720085144042969,"[6, 4, 1, 5, 0, 7, 3, 9]"
tournament,cyclic,swap,ordered,False,0.1395399570465088,
tournament,cyclic,swap,ordered,True,0.05096316337585449,"[6, 4, 1, 5, 0, 7, 3, 9]"
tournament,cyclic,swap,ordered,False,0.13868045806884766,
tournament,cyclic,swap,ordered,True,0.02690434455871582,"[7, 6, 4, 3, 0, 8, 2, 9]"
tournament,cyclic,swap,ordered,False,0.1278514862060547,
tournament,cyclic,swap,ordered,False,0.13377094268798828,
tournament,cyclic,swap,ordered,True,0.03846454620361328,"[6, 4, 1, 5, 0, 7, 3, 9]"
tournament,cyclic,swap,ordered,False,0.11867403984069824,
tournament,cyclic,swap,ordered,True,0.11663031578063965,"[7, 6, 4, 3, 0, 8, 2, 9]"
tournament,cyclic,swap,ordered,False,0.14733338356018066,
tournament,cyclic,swap,ordered,True,0.016177654266357422,"[6, 8, 5, 1, 0, 7, 3, 9]"
tournament,cyclic,swap,ordered,False,0.14380455017089844,
tournament,cyclic,swap,ordered,True,0.0366060733795166,"[7, 4, 2, 9, 0, 8, 1, 3]"
tournament,cyclic,swap,ordered,False,0.14074492454528809,
tournament,cyclic,swap,ordered,True,0.014037847518920898,"[2, 8, 1, 7, 0, 3, 6, 5]"
tournament,cyclic,swap,ordered,False,0.15044641494750977,
tournament,cyclic,swap,ordered,True,0.0402531623840332,"[3, 8, 2, 1, 0, 4, 6, 9]"
tournament,cyclic,swap,ordered,True,0.05242300033569336,"[6, 8, 5, 3, 0, 7, 2, 1]"
tournament,cyclic,swap,ordered,False,0.13807010650634766,
tournament,cyclic,swap,ordered,False,0.12912988662719727,
tournament,cyclic,swap,ordered,False,0.11061549186706543,
tournament,cyclic,swap,ordered,False,0.09666872024536133,
tournament,cyclic,swap,ordered,False,0.14028263092041016,
tournament,cyclic,swap,ordered,False,0.13172435760498047,
tournament,cyclic,swap,ordered,False,0.12136435508728027,
tournament,cyclic,swap,ordered,False,0.13336586952209473,
tournament,cyclic,swap,ordered,False,0.14186906814575195,
tournament,cyclic,swap,ordered,False,0.12304425239562988,
tournament,cyclic,swap,ordered,True,0.09111428260803223,"[8, 5, 4, 2, 0, 9, 1, 7]"
tournament,cyclic,swap,ordered,True,0.06783080101013184,"[7, 4, 2, 9, 0, 8, 1, 3]"
tournament,cyclic,swap,ordered,False,0.15433263778686523,
tournament,cyclic,swap,ordered,False,0.14914941787719727,
tournament,cyclic,swap,ordered,True,0.0451810359954834,"[5, 8, 4, 9, 0, 6, 3, 7]"
tournament,cyclic,swap,ordered,True,0.0333714485168457,"[2, 8, 1, 9, 0, 3, 6, 7]"
tournament,cyclic,swap,ordered,False,0.1751999855041504,
tournament,cyclic,swap,ordered,False,0.15249967575073242,
tournament,cyclic,swap,ordered,False,0.1295027732849121,
tournament,cyclic,swap,ordered,True,0.08312368392944336,"[7, 5, 3, 1, 0, 8, 2, 6]"
tournament,cyclic,swap,ordered,False,0.11568522453308105,
tournament,cyclic,swap,ordered,False,0.13994073867797852,
tournament,cyclic,swap,ordered,True,0.035231590270996094,"[8, 3, 2, 4, 0, 9, 1, 7]"
tournament,cyclic,swap,ordered,False,0.19595885276794434,
tournament,cyclic,swap,ordered,False,0.13465642929077148,
tournament,cyclic,swap,ordered,False,0.12736916542053223,
tournament,cyclic,swap,ordered,True,0.01856851577758789,"[8, 4, 3, 2, 0, 9, 1, 6]"
tournament,cyclic,swap,ordered,False,0.11997199058532715,
tournament,cyclic,swap,ordered,False,0.12368941307067871,
tournament,cyclic,swap,ordered,True,0.03713083267211914,"[5, 7, 3, 1, 0, 6, 4, 8]"
tournament,cyclic,swap,ordered,False,0.1468513011932373,
tournament,cyclic,swap,ordered,False,0.14726042747497559,
tournament,cyclic,swap,ordered,False,0.12251091003417969,
tournament,cyclic,swap,ordered,False,0.13841724395751953,
tournament,cyclic,swap,ordered,False,0.1369304656982422,
tournament,cyclic,swap,ordered,False,0.13913488388061523,
tournament,cyclic,swap,ordered,False,0.12458968162536621,
tournament,cyclic,swap,ordered,False,0.14624500274658203,
tournament,cyclic,swap,ordered,False,0.13284611701965332,
tournament,cyclic,swap,ordered,True,0.018540143966674805,"[7, 3, 1, 6, 0, 8, 2, 9]"
tournament,cyclic,swap,ordered,True,0.029297828674316406,"[8, 4, 3, 2, 0, 9, 1, 6]"
tournament,cyclic,swap,ordered,True,0.0200653076171875,"[2, 8, 1, 9, 0, 3, 6, 7]"
tournament,cyclic,swap,ordered,False,0.1350409984588623,
tournament,cyclic,swap,ordered,False,0.1277456283569336,
tournament,cyclic,swap,ordered,False,0.1475212574005127,
tournament,cyclic,swap,ordered,False,0.14375519752502441,
tournament,cyclic,swap,ordered,True,0.036512136459350586,"[7, 6, 4, 3, 0, 8, 2, 9]"
tournament,cyclic,swap,ordered,False,0.13214397430419922,
tournament,cyclic,swap,ordered,False,0.16481971740722656,
tournament,cyclic,swap,ordered,True,0.07833671569824219,"[6, 8, 5, 3, 0, 7, 2, 1]"
tournament,cyclic,swap,ordered,True,0.04518771171569824,"[8, 3, 2, 4, 0, 9, 1, 7]"
tournament,cyclic,swap,ordered,True,0.03798961639404297,"[7, 4, 2, 9, 0, 8, 1, 3]"
tournament,cyclic,swap,ordered,False,0.13448238372802734,
tournament,cyclic,swap,ordered,False,0.13282227516174316,
tournament,cyclic,swap,ordered,False,0.1333928108215332,
tournament,cyclic,swap,ordered,True,0.06889533996582031,"[8, 3, 2, 4, 0, 9, 1, 7]"
tournament,cyclic,swap,ordered,True,0.025052785873413086,"[7, 5, 3, 4, 0, 8, 2, 9]"
tournament,cyclic,swap,ordered,True,0.02849864959716797,"[7, 5, 3, 9, 0, 8, 1, 4]"
tournament,cyclic,swap,ordered,False,0.11130690574645996,
tournament,cyclic,swap,ordered,False,0.14342188835144043,
tournament,cyclic,swap,ordered,False,0.1529674530029297,
tournament,cyclic,swap,ordered,True,0.0435338020324707,"[3, 8, 2, 1, 0, 4, 6, 9]"
tournament,cyclic,swap,ordered,False,0.15476393699645996,
tournament,cyclic,swap,ordered,True,0.021770954132080078,"[6, 8, 5, 3, 0, 7, 2, 1]"
tournament,cyclic,swap,ordered,False,0.16515064239501953,
tournament,cyclic,swap,ordered,True,0.033066511154174805,"[3, 7, 1, 2, 0, 4, 6, 9]"
tournament,cyclic,swap,ordered,True,0.024281978607177734,"[2, 8, 1, 9, 0, 3, 6, 7]"
tournament,cyclic,swap,elitism,True,0.04007363319396973,"[6, 8, 5, 3, 0, 7, 2, 1]"
tournament,cyclic,swap,elitism,False,0.12747883796691895,
tournament,cyclic,swap,elitism,False,0.11810612678527832,
tournament,cyclic,swap,elitism,False,0.13556432723999023,
tournament,cyclic,swap,elitism,False,0.11113238334655762,
tournament,cyclic,swap,elitism,False,0.11361861228942871,
tournament,cyclic,swap,elitism,False,0.11790180206298828,
tournament,cyclic,swap,elitism,False,0.10923290252685547,
tournament,cyclic,swap,elitism,False,0.12565922737121582,
tournament,cyclic,swap,elitism,True,0.016284704208374023,"[2, 8, 1, 7, 0, 3, 6, 5]"
tournament,cyclic,swap,elitism,False,0.10842251777648926,
tournament,cyclic,swap,elitism,False,0.10878133773803711,
tournament,cyclic,swap,elitism,False,0.12517762184143066,
tournament,cyclic,swap,elitism,False,0.12178730964660645,
tournament,cyclic,swap,elitism,True,0.029039859771728516,"[7, 3, 1, 6, 0, 8, 2, 9]"
tournament,cyclic,swap,elitism,False,0.13457846641540527,
tournament,cyclic,swap,elitism,True,0.09789037704467773,"[7, 3, 1, 6, 0, 8, 2, 9]"
tournament,cyclic,swap,elitism,False,0.13778162002563477,
tournament,cyclic,swap,elitism,False,0.12577247619628906,
tournament,cyclic,swap,elitism,False,0.13232159614562988,
tournament,cyclic,swap,elitism,False,0.13364577293395996,
tournament,cyclic,swap,elitism,False,0.18276691436767578,
tournament,cyclic,swap,elitism,True,0.22572612762451172,"[5, 7, 3, 2, 0, 6, 4, 9]"
tournament,cyclic,swap,elitism,False,0.18810510635375977,
tournament,cyclic,swap,elitism,False,0.17480039596557617,
tournament,cyclic,swap,elitism,False,0.17111921310424805,
tournament,cyclic,swap,elitism,False,0.14966750144958496,
tournament,cyclic,swap,elitism,False,0.18717241287231445,
tournament,cyclic,swap,elitism,True,0.16106581687927246,"[7, 6, 4, 9, 0, 8, 1, 5]"
tournament,cyclic,swap,elitism,False,0.18375420570373535,
tournament,cyclic,swap,elitism,False,0.15662121772766113,
tournament,cyclic,swap,elitism,False,0.14330720901489258,
tournament,cyclic,swap,elitism,True,0.043504953384399414,"[7, 5, 3, 9, 0, 8, 1, 4]"
tournament,cyclic,swap,elitism,False,0.24538207054138184,
tournament,cyclic,swap,elitism,False,0.1916186809539795,
tournament,cyclic,swap,elitism,False,0.17189812660217285,
tournament,cyclic,swap,elitism,False,0.164780855178833,
tournament,cyclic,swap,elitism,False,0.179887056350708,
tournament,cyclic,swap,elitism,True,0.016436338424682617,"[6, 4, 1, 9, 0, 7, 2, 3]"
tournament,cyclic,swap,elitism,False,0.17702889442443848,
tournament,cyclic,swap,elitism,False,0.17107129096984863,
tournament,cyclic,swap,elitism,False,0.1922011375427246,
tournament,cyclic,swap,elitism,False,0.1578965187072754,
tournament,cyclic,swap,elitism,False,0.20204615592956543,
tournament,cyclic,swap,elitism,True,0.1560811996459961,"[7, 4, 2, 9, 0, 8, 1, 3]"
tournament,cyclic,swap,elitism,True,0.053652048110961914,"[3, 7, 1, 2, 0, 4, 6, 9]"
tournament,cyclic,swap,elitism,False,0.23218584060668945,
tournament,cyclic,swap,elitism,True,0.0056340694427490234,"[6, 4, 1, 9, 0, 7, 2, 3]"
tournament,cyclic,swap,elitism,False,0.23785853385925293,
tournament,cyclic,swap,elitism,True,0.1467747688293457,"[5, 8, 4, 9, 0, 6, 3, 7]"
tournament,cyclic,swap,elitism,False,0.16835236549377441,
tournament,cyclic,swap,elitism,False,0.21623897552490234,
