problem,converged,execution_time,best_solution
MONEY,False,0.5619964599609375,
MONEY,True,0.44690966606140137,"[7, 6, 4, 9, 0, 8, 1, 5]"
MONEY,True,0.29395413398742676,"[5, 7, 3, 1, 0, 6, 4, 8]"
MONEY,False,0.4550516605377197,
MONEY,False,0.3870079517364502,
MONEY,False,0.47632431983947754,
MONEY,True,0.5659303665161133,"[8, 4, 3, 2, 0, 9, 1, 6]"
MONEY,False,0.4801676273345947,
MONEY,False,0.44298887252807617,
MONEY,False,0.4323384761810303,
MONEY,False,0.4255645275115967,
MONEY,False,0.6174941062927246,
MONEY,True,0.2476363182067871,"[7, 6, 4, 9, 0, 8, 1, 5]"
MONEY,True,0.13634824752807617,"[3, 0, 2, 8, 1, 4, 6, 9]"
MONEY,False,0.4042043685913086,
MONEY,False,0.42761826515197754,
MONEY,False,0.3917849063873291,
MONEY,False,0.8914952278137207,
MONEY,False,0.6771650314331055,
MONEY,True,0.14686369895935059,"[4, 7, 0, 9, 5, 6, 3, 8]"
MONEY,False,0.43345046043395996,
MONEY,False,0.43004274368286133,
MONEY,True,0.1753559112548828,"[5, 7, 3, 2, 0, 6, 4, 9]"
MONEY,False,0.4590010643005371,
MONEY,False,0.45415329933166504,
MONEY,False,0.38729238510131836,
MONEY,True,0.16428184509277344,"[9, 5, 6, 7, 1, 0, 8, 2]"
MONEY,False,0.42592835426330566,
MONEY,False,0.40105509757995605,
MONEY,True,0.17841482162475586,"[5, 3, 4, 9, 0, 6, 7, 8]"
MONEY,False,0.44737863540649414,
MONEY,False,0.4744906425476074,
MONEY,False,0.45351481437683105,
MONEY,True,0.16910886764526367,"[7, 6, 4, 9, 0, 8, 1, 5]"
MONEY,True,0.45758628845214844,"[8, 5, 4, 9, 2, 0, 1, 7]"
MONEY,True,0.2794804573059082,"[9, 8, 1, 3, 6, 2, 0, 7]"
MONEY,False,0.5002431869506836,
MONEY,False,0.46929478645324707,
MONEY,False,0.5353219509124756,
MONEY,False,0.47832703590393066,
MONEY,True,0.08833098411560059,"[6, 4, 1, 5, 0, 7, 3, 9]"
MONEY,True,0.17517471313476562,"[3, 8, 2, 4, 0, 9, 1, 7]"
MONEY,True,0.47570109367370605,"[6, 4, 1, 9, 0, 7, 2, 3]"
MONEY,False,0.47260332107543945,
MONEY,False,0.4322352409362793,
MONEY,False,0.47995638847351074,
MONEY,False,0.43033313751220703,
MONEY,False,0.40216779708862305,
MONEY,False,0.48210906982421875,
MONEY,False,0.437915563583374,
MONEY,False,0.44405269622802734,
MONEY,False,0.5957019329071045,
MONEY,True,0.04764270782470703,"[6, 4, 1, 5, 0, 7, 3, 9]"
MONEY,False,0.456650972366333,
MONEY,False,0.45040106773376465,
MONEY,False,0.4809994697570801,
MONEY,False,0.4375624656677246,
MONEY,True,0.1647336483001709,"[8, 4, 5, 2, 0, 9, 1, 7]"
MONEY,False,0.4333512783050537,
MONEY,True,0.42815279960632324,"[7, 5, 3, 1, 0, 8, 2, 6]"
MONEY,True,0.0634317398071289,"[6, 1, 4, 3, 0, 7, 5, 9]"
MONEY,True,0.19611263275146484,"[5, 7, 3, 1, 0, 6, 4, 8]"
MONEY,False,0.47446179389953613,
MONEY,False,0.43137073516845703,
MONEY,True,0.2427058219909668,"[6, 5, 2, 4, 0, 7, 3, 9]"
MONEY,False,0.3699812889099121,
MONEY,True,0.13046050071716309,"[7, 3, 1, 6, 0, 8, 2, 9]"
MONEY,False,0.4697873592376709,
MONEY,False,0.5862782001495361,
MONEY,True,0.11551523208618164,"[8, 5, 4, 2, 0, 9, 1, 7]"
MONEY,False,0.39815473556518555,
MONEY,True,0.12394070625305176,"[7, 4, 2, 9, 0, 8, 1, 3]"
MONEY,False,0.4850430488586426,
MONEY,False,0.5514919757843018,
MONEY,False,0.46233439445495605,
MONEY,True,0.1209113597869873,"[7, 3, 1, 6, 0, 8, 2, 9]"
MONEY,False,0.41779422760009766,
MONEY,False,0.47978734970092773,
MONEY,False,0.4271738529205322,
MONEY,False,0.43454813957214355,
MONEY,False,0.4734668731689453,
MONEY,False,0.48311901092529297,
MONEY,True,0.25714993476867676,"[8, 5, 4, 2, 0, 9, 1, 7]"
MONEY,False,0.46378064155578613,
MONEY,False,0.5283355712890625,
MONEY,False,0.5473217964172363,
MONEY,False,0.4794793128967285,
MONEY,False,0.463714599609375,
MONEY,False,0.49927592277526855,
MONEY,False,0.42535901069641113,
MONEY,False,0.49831056594848633,
MONEY,False,0.448777437210083,
MONEY,False,0.4761664867401123,
MONEY,False,0.4620187282562256,
MONEY,False,0.42488837242126465,
MONEY,True,0.19538164138793945,"[3, 7, 1, 9, 0, 4, 5, 6]"
MONEY,True,0.05071091651916504,"[6, 4, 1, 9, 0, 7, 2, 3]"
